MISS! ; PA: 58995 ; Accessed Data: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
MISS! ; PA: 19363 ; Accessed Data: 11000110001011000010110010000001
MISS! ; PA: 50037 ; Accessed Data: 01101000001001110000010101111001
MISS! ; PA: 39508 ; Accessed Data: 00000000010101000101111111011001
HIT! ; PA: 42975 ; Accessed Data: 01110000001011101010000010111010
MISS! ; PA: 58317 ; Accessed Data: 10111110000111101010110111110110
HIT! ; PA: 13698 ; Accessed Data: 01000111110111001110110111001100
MISS! ; PA: 41301 ; Accessed Data: 11000000100001000010111101010001
HIT! ; PA: 54559 ; Accessed Data: 00010110011110001110011110011100
MISS! ; PA: 14116 ; Accessed Data: 00011100111110101110111110101111
HIT! ; PA: 34442 ; Accessed Data: 10010101100010001010111100100110
MISS! ; PA: 11941 ; Accessed Data: 11110100111101000101111110100000
HIT! ; PA: 22405 ; Accessed Data: 00000000010010011101010011101110
MISS! ; PA: 19806 ; Accessed Data: 00011101010111111111011000000000
HIT! ; PA: 62896 ; Accessed Data: 11110011001110101101001010001001
HIT! ; PA: 23147 ; Accessed Data: 10110110001001010000000101110111
HIT! ; PA: 48504 ; Accessed Data: 00111011100100001011010000010100
HIT! ; PA:  7273 ; Accessed Data: 10110001101010111010100111111010
MISS! ; PA:  7939 ; Accessed Data: 10010110110000011111000110111010
HIT! ; PA: 61166 ; Accessed Data: 01001100010101000010001001001010
MISS! ; PA: 56567 ; Accessed Data: 01100001111111000111100100110001
MISS! ; PA: 23066 ; Accessed Data: 01110011111111100000100101110010
HIT! ; PA: 31559 ; Accessed Data: 00111001101011001110011100111011
MISS! ; PA: 57565 ; Accessed Data: 00011111100000101111110001001100
MISS! ; PA: 26948 ; Accessed Data: 10001000111110111111000100100111
MISS! ; PA: 30379 ; Accessed Data: 10010110001101100101011011111011
MISS! ; PA: 45819 ; Accessed Data: 00001001010010111111111001001111
HIT! ; PA: 50065 ; Accessed Data: 10100111011011000010011001101111
MISS! ; PA: 60598 ; Accessed Data: 00110001101111011111000110011001
MISS! ; PA: 19946 ; Accessed Data: 11010001111100100100100111100110
MISS! ; PA: 63955 ; Accessed Data: 10010110101011000010001011111001
MISS! ; PA: 24178 ; Accessed Data: 01011011100100101100010001101000
MISS! ; PA: 22717 ; Accessed Data: 00111001001100011000100011101011
HIT! ; PA: 33870 ; Accessed Data: 01011000100100100011111001001000
MISS! ; PA: 63784 ; Accessed Data: 11000110100111100001000111111100
HIT! ; PA: 31344 ; Accessed Data: 10100011001101001011011010101000
MISS! ; PA: 15490 ; Accessed Data: 11001000000001010010111001000000
MISS! ; PA: 62944 ; Accessed Data: 11000011001101010110010011110011
HIT! ; PA: 39828 ; Accessed Data: 11000001101100011000100011011011
HIT! ; PA: 35008 ; Accessed Data: 11000101010011111100101001100011
HIT! ; PA: 11245 ; Accessed Data: 01000010101010011111000101111010
HIT! ; PA: 14473 ; Accessed Data: 00000010101110011111001101111011
MISS! ; PA: 19140 ; Accessed Data: 11100100001100110111010111011001
MISS! ; PA: 48581 ; Accessed Data: 11011000101001001110100110001100
HIT! ; PA: 25850 ; Accessed Data: 00111001010011001010101100111101
MISS! ; PA: 21812 ; Accessed Data: 01001111101111010101010000110010
HIT! ; PA: 23955 ; Accessed Data: 10101110001100110010011111111001
MISS! ; PA: 14630 ; Accessed Data: 10110011101100000100101011010101
MISS! ; PA: 62740 ; Accessed Data: 01010111110111010010110011101011
MISS! ; PA: 24296 ; Accessed Data: 00011010101000010101011000101011
MISS! ; PA: 15769 ; Accessed Data: 10110011100000000111111011111110
MISS! ; PA:  4523 ; Accessed Data: 11011100101100111010000110110011
MISS! ; PA:  9275 ; Accessed Data: 01010110000010100111000010101000
MISS! ; PA:  4812 ; Accessed Data: 11111011100001000101110100111001
MISS! ; PA: 16658 ; Accessed Data: 10001011101010010001101101101011
MISS! ; PA: 43684 ; Accessed Data: 01111001101011010100111001010111
HIT! ; PA: 46621 ; Accessed Data: 11100111010001001100100101010110
MISS! ; PA:  9060 ; Accessed Data: 10100010010001001001000111110000
HIT! ; PA: 60848 ; Accessed Data: 11000001111111101000111010000100
MISS! ; PA: 25199 ; Accessed Data: 01000000010110111000110110110101
HIT! ; PA: 24315 ; Accessed Data: 10101010101110000001001010011001
HIT! ; PA: 19645 ; Accessed Data: 11000110100000000001000110100010
MISS! ; PA: 35669 ; Accessed Data: 11000101100011011000101001001010
HIT! ; PA: 56827 ; Accessed Data: 01100110001111011010100110000000
MISS! ; PA: 12382 ; Accessed Data: 00011011010101011110000011010100
MISS! ; PA: 56152 ; Accessed Data: 00010111100110000001111001100010
MISS! ; PA: 19363 ; Accessed Data: 11011001001001010001000110000001
HIT! ; PA: 37677 ; Accessed Data: 10010000100100100010100000101010
MISS! ; PA: 59185 ; Accessed Data: 01111111110010111011000100101001
MISS! ; PA: 20522 ; Accessed Data: 00101100101010100100111100000100
HIT! ; PA: 51614 ; Accessed Data: 00000011010101011010011110101101
MISS! ; PA: 57364 ; Accessed Data: 11000100010110101111110011101000
MISS! ; PA: 36590 ; Accessed Data: 11011010100010100001100101111011
MISS! ; PA: 30477 ; Accessed Data: 01110100100101101011111100011010
MISS! ; PA: 19559 ; Accessed Data: 11111110011011011000000100001111
HIT! ; PA: 51646 ; Accessed Data: 01010110010100101011011110101011
MISS! ; PA: 61219 ; Accessed Data: 11011001101111101111100001101110
MISS! ; PA: 65099 ; Accessed Data: 00100101111110110011111011110111
HIT! ; PA: 50811 ; Accessed Data: 00101000011110111011001010101100
MISS! ; PA: 40260 ; Accessed Data: 11011010111110101011010100100111
HIT! ; PA:  2622 ; Accessed Data: 11000111010110011010010101100101
MISS! ; PA: 13631 ; Accessed Data: 00101111001101101000001110101111
MISS! ; PA:   740 ; Accessed Data: 01110011010011100110001001000101
HIT! ; PA:  5200 ; Accessed Data: 00010110100100010100111011001111
MISS! ; PA:  9405 ; Accessed Data: 01111001000010000010000010000010
HIT! ; PA: 55833 ; Accessed Data: 00100110011010010101011100010100
MISS! ; PA: 63623 ; Accessed Data: 01010100011101011111011001011111
HIT! ; PA: 22577 ; Accessed Data: 11101101000101110000101011010101
MISS! ; PA: 26739 ; Accessed Data: 01000000001110110100001010101001
MISS! ; PA: 24950 ; Accessed Data: 00111001011100011100011110111001
MISS! ; PA: 27937 ; Accessed Data: 10110101001111110100011000111011
MISS! ; PA: 45722 ; Accessed Data: 01010010010010011100110000101110
HIT! ; PA:  2779 ; Accessed Data: 11011010001000011110110101111100
MISS! ; PA: 38515 ; Accessed Data: 00011101111011010101100011110001
HIT! ; PA: 38695 ; Accessed Data: 11100010101111001100100111011110
MISS! ; PA: 20787 ; Accessed Data: 00111001101001110000001010001011
MISS! ; PA:  2988 ; Accessed Data: 01011111101010010011101101011111
HIT! ; PA: 60373 ; Accessed Data: 00000001001111010011001011010000
MISS! ; PA:  4434 ; Accessed Data: 01111101101110101100101000001010
MISS! ; PA: 14202 ; Accessed Data: 10000110011100001101101001100000
HIT! ; PA: 27590 ; Accessed Data: 00110101100000011010111101110101
HIT! ; PA:  4663 ; Accessed Data: 01111000011111110101001000101000
HIT! ; PA: 41819 ; Accessed Data: 01101010110010001001000001000010
MISS! ; PA: 16649 ; Accessed Data: 11111011101000110110110011100000
HIT! ; PA: 65427 ; Accessed Data: 11111100000110010110010110011111
MISS! ; PA: 17503 ; Accessed Data: 01110000100100111011100010001100
HIT! ; PA: 53447 ; Accessed Data: 11000010001101101001011011001000
MISS! ; PA:  4669 ; Accessed Data: 00101011111111111110111111111101
MISS! ; PA: 18311 ; Accessed Data: 01111111100111110100001010000011
HIT! ; PA: 17455 ; Accessed Data: 00011110000101111001110001010000
HIT! ; PA: 62028 ; Accessed Data: 11000000000100101011100010100001
HIT! ; PA: 11327 ; Accessed Data: 01101010000000111110011001101100
MISS! ; PA: 21023 ; Accessed Data: 10101000000001000010001110000010
HIT! ; PA:  8737 ; Accessed Data: 11101101011010111001100010000101
MISS! ; PA: 62353 ; Accessed Data: 10110100001010100110000110001111
HIT! ; PA: 60899 ; Accessed Data: 10110111111011100100111110011110
MISS! ; PA: 15802 ; Accessed Data: 01101000111101010000111011000000
HIT! ; PA: 43129 ; Accessed Data: 01110010101011011101110100000001
HIT! ; PA: 12610 ; Accessed Data: 11110010000100001011111000010101
HIT! ; PA: 27213 ; Accessed Data: 10110111101111111101011111000111
MISS! ; PA: 35579 ; Accessed Data: 10110001111000100110001100011111
MISS! ; PA: 59293 ; Accessed Data: 01011001101111000101111001010100
HIT! ; PA:  4463 ; Accessed Data: 11000001000100001110101101110110
HIT! ; PA: 59491 ; Accessed Data: 10011011001101010000011111011001
HIT! ; PA: 60979 ; Accessed Data: 01011101111110100000100001000010
HIT! ; PA:  9667 ; Accessed Data: 01010110001110010000010111010011
HIT! ; PA:  2845 ; Accessed Data: 01001100001110110010011110110101
HIT! ; PA: 34809 ; Accessed Data: 00010011110100000111010110001001
MISS! ; PA:  9972 ; Accessed Data: 00100100001010111001111010001110
HIT! ; PA:   870 ; Accessed Data: 00010011100000001110000110010000
HIT! ; PA: 47491 ; Accessed Data: 10010010010111100000000110010101
MISS! ; PA: 58513 ; Accessed Data: 01000010110011011111001101001000
HIT! ; PA: 25678 ; Accessed Data: 10000111001001011010111100100011
MISS! ; PA: 29027 ; Accessed Data: 00100100101100100101010001011110
MISS! ; PA: 47095 ; Accessed Data: 01010110000010111000100010011010
MISS! ; PA: 62733 ; Accessed Data: 10101001001011001100000001001010
MISS! ; PA: 33750 ; Accessed Data: 11000101010101111101101111100111
HIT! ; PA: 16532 ; Accessed Data: 11110100101011100100010111010001
HIT! ; PA: 42917 ; Accessed Data: 00001101100011100111110100000101
HIT! ; PA:  3068 ; Accessed Data: 00010111101011001011100010000010
MISS! ; PA: 18316 ; Accessed Data: 11001000111011110000111101111010
MISS! ; PA: 41775 ; Accessed Data: 10110110000100100101001000111011
HIT! ; PA:  2103 ; Accessed Data: 11010010111101110111111111011010
HIT! ; PA:   324 ; Accessed Data: 10011110110010111000010010100011
MISS! ; PA: 15355 ; Accessed Data: 00010111110111101010110101000010
MISS! ; PA: 37800 ; Accessed Data: 01010011001111101111101010101111
HIT! ; PA: 10594 ; Accessed Data: 01010100000101100100001011011100
HIT! ; PA: 50133 ; Accessed Data: 01111110110010101100101000100000
MISS! ; PA: 30276 ; Accessed Data: 11000011110100011100000101100000
MISS! ; PA: 56946 ; Accessed Data: 01011110010100001101010100000001
HIT! ; PA: 15063 ; Accessed Data: 11000010011110011011100010001111
HIT! ; PA: 10671 ; Accessed Data: 00010111101001110101101100101011
HIT! ; PA:  4266 ; Accessed Data: 01011010001110000011000010110111
MISS! ; PA: 31938 ; Accessed Data: 00000001001001111011101111000011
MISS! ; PA: 19276 ; Accessed Data: 11000011011100000100010000110100
HIT! ; PA: 51318 ; Accessed Data: 11011001001000010110011010111000
HIT! ; PA:  4185 ; Accessed Data: 11010100010000011110100011101011
HIT! ; PA: 12667 ; Accessed Data: 11101101011000111111111001001000
MISS! ; PA: 36111 ; Accessed Data: 01100000000010001110100111010000
MISS! ; PA:  2152 ; Accessed Data: 00110010101101111010100001111010
MISS! ; PA: 54966 ; Accessed Data: 10000110110111000001000001011111
MISS! ; PA: 59339 ; Accessed Data: 01001100011000111001000010100011
MISS! ; PA: 10026 ; Accessed Data: 11110101000100100111111000100100
HIT! ; PA: 45413 ; Accessed Data: 10000011101010001001100011100100
MISS! ; PA:  9818 ; Accessed Data: 00010010101110000011011000110101
HIT! ; PA: 56065 ; Accessed Data: 10101111010001010011101110101000
HIT! ; PA: 32629 ; Accessed Data: 00100011000111001101011010110101
MISS! ; PA: 52824 ; Accessed Data: 00001010111100111001110100101000
HIT! ; PA:  7757 ; Accessed Data: 01010100010001001000001001010001
HIT! ; PA:  3289 ; Accessed Data: 11111110111010001100110011101001
MISS! ; PA: 57529 ; Accessed Data: 10111110011101011111100111000100
HIT! ; PA:  6655 ; Accessed Data: 11010111010101110011011100111010
MISS! ; PA: 26327 ; Accessed Data: 01010011101011101110010101010101
HIT! ; PA: 41001 ; Accessed Data: 01101011111011000100011010111001
HIT! ; PA: 25544 ; Accessed Data: 10111111001011000100111001010110
MISS! ; PA: 23378 ; Accessed Data: 10110111010100110011010111001110
HIT! ; PA: 12313 ; Accessed Data: 00110100111001110100100010100101
HIT! ; PA:  2795 ; Accessed Data: 01011110101100000001000000101100
HIT! ; PA: 52475 ; Accessed Data: 00110001000100011100110000101100
HIT! ; PA:  6711 ; Accessed Data: 00101001001001101110010001010101
MISS! ; PA: 55544 ; Accessed Data: 00100111100111001011111001100011
MISS! ; PA: 16397 ; Accessed Data: 01100111010100100010010100010100
MISS! ; PA:  1374 ; Accessed Data: 00100011101100100010101111001011
HIT! ; PA: 13484 ; Accessed Data: 01001010110011100011101100000010
HIT! ; PA: 63743 ; Accessed Data: 01010111001111001011000101110011
HIT! ; PA: 44504 ; Accessed Data: 00101101101100010100011000000100
HIT! ; PA: 57120 ; Accessed Data: 10011010010111100001011001110101
HIT! ; PA: 63557 ; Accessed Data: 11001010000011000000111011001010
MISS! ; PA: 54781 ; Accessed Data: 11011010111110000001010101110111
MISS! ; PA: 48521 ; Accessed Data: 01100001011011010010100001010000
HIT! ; PA: 61452 ; Accessed Data: 01111100001001010101011000101101
HIT! ; PA: 11932 ; Accessed Data: 11010100010111100100000101011110
HIT! ; PA: 41735 ; Accessed Data: 10100101101111011001011011010011
HIT! ; PA: 11068 ; Accessed Data: 10101001111001001010011000001001
HIT! ; PA: 14387 ; Accessed Data: 10000011110101000000010110110110
HIT! ; PA: 37565 ; Accessed Data: 00000111000000111111000100110010
MISS! ; PA: 37804 ; Accessed Data: 01110110001110111100101010101010
MISS! ; PA: 41100 ; Accessed Data: 10010110001101101110111000000100
MISS! ; PA: 24280 ; Accessed Data: 00101111111111001100000010010010
HIT! ; PA: 14851 ; Accessed Data: 01011110111110011010100101111001
MISS! ; PA:  6316 ; Accessed Data: 11000110111000000101111011011110
MISS! ; PA: 39771 ; Accessed Data: 10001101010000101011001111010100
MISS! ; PA:  4906 ; Accessed Data: 10110010111010111101001100000110
HIT! ; PA: 65058 ; Accessed Data: 00101001000000011001001000100110
HIT! ; PA: 52686 ; Accessed Data: 10111101110111010100101000010010
HIT! ; PA: 23989 ; Accessed Data: 10111101101001100101111111001011
HIT! ; PA: 21510 ; Accessed Data: 11100010101100000110101000010100
MISS! ; PA:  8786 ; Accessed Data: 11110001100110011001111111101011
HIT! ; PA: 13180 ; Accessed Data: 00011101000111111111101110101011
HIT! ; PA:  8045 ; Accessed Data: 00001101110000010011111011111100
MISS! ; PA: 11372 ; Accessed Data: 00101001000110111100001101111111
HIT! ; PA: 27812 ; Accessed Data: 01110101000000001100010000111100
MISS! ; PA: 38829 ; Accessed Data: 00110010010101011000101111001001
HIT! ; PA: 15611 ; Accessed Data: 00001011101100111011001100111010
HIT! ; PA: 38532 ; Accessed Data: 01110011101110100101110111001011
MISS! ; PA: 30072 ; Accessed Data: 10001111001101000001110101001100
